Date,day,month,year,Customer Age,Customer Gender,data_country,State_encoded,pro_cat_encoded,Sub_Category_encoded,Quantity,Unit Cost,Unit Price,Cost,Revenue,profit
2015-04-20,20,4,2015,37.0,0,,6,2,14,3.0,690.33,518.333333,2071.0,1555.0,-516.0
2015-04-24,24,4,2015,32.0,0,,24,2,11,3.0,727.33,708.0,2182.0,2124.0,-58.0
2015-04-25,25,4,2015,40.0,0,,20,2,14,2.0,1024.5,708.0,2049.0,1416.0,-633.0
2015-04-30,30,4,2015,61.0,0,,19,2,14,2.0,1024.5,1077.0,2049.0,2154.0,105.0
2015-05-01,1,5,2015,28.0,0,,8,2,14,3.0,690.33,866.333333,2071.0,2599.0,528.0
2015-05-01,1,5,2015,28.0,0,,19,2,14,3.0,690.33,623.0,2071.0,1869.0,-202.0
2015-05-02,2,5,2015,32.0,0,,24,2,11,3.0,261.0,248.333333,783.0,745.0,-38.0
2015-05-05,5,5,2015,39.0,1,,23,2,14,2.0,1024.5,866.0,2049.0,1732.0,-317.0
2015-05-06,6,5,2015,45.0,1,,24,2,11,2.0,391.5,357.0,783.0,714.0,-69.0
2015-05-07,7,5,2015,39.0,1,,23,2,11,1.0,2182.0,2108.0,2182.0,2108.0,-74.0
2015-05-07,7,5,2015,39.0,1,,16,2,14,3.0,683.0,522.0,2049.0,1566.0,-483.0
2015-05-08,8,5,2015,52.0,0,,20,2,14,1.0,2049.0,2435.0,2049.0,2435.0,386.0
2015-05-09,9,5,2015,45.0,0,,22,2,11,2.0,500.0,465.5,1000.0,931.0,-69.0
2015-05-11,11,5,2015,32.0,0,,24,2,11,3.0,333.33,282.666667,1000.0,848.0,-152.0
2015-05-11,11,5,2015,52.0,0,,16,2,14,2.0,1024.5,1049.0,2049.0,2098.0,49.0
2015-05-16,16,5,2015,45.0,0,,22,2,11,3.0,333.33,313.666667,1000.0,941.0,-59.0
2015-05-20,20,5,2015,33.0,0,,24,2,11,2.0,500.0,449.5,1000.0,899.0,-101.0
2015-05-20,20,5,2015,28.0,1,,24,2,14,2.0,1035.5,1024.5,2071.0,2049.0,-22.0
2015-05-20,20,5,2015,45.0,1,,24,2,11,2.0,391.5,386.5,783.0,773.0,-10.0
2015-05-21,21,5,2015,29.0,0,,15,2,14,3.0,683.0,572.333333,2049.0,1717.0,-332.0
2015-05-25,25,5,2015,39.0,1,,23,2,11,2.0,1091.0,1004.5,2182.0,2009.0,-173.0
2015-06-02,2,6,2015,33.0,1,,6,2,14,2.0,1024.5,1037.5,2049.0,2075.0,26.0
2015-06-02,2,6,2015,49.0,0,,14,2,14,2.0,1035.5,1368.5,2071.0,2737.0,666.0
2015-06-02,2,6,2015,33.0,0,,20,2,14,2.0,1035.5,674.5,2071.0,1349.0,-722.0
2015-06-02,2,6,2015,33.0,0,,20,2,14,1.0,2049.0,1605.0,2049.0,1605.0,-444.0
2015-06-04,4,6,2015,43.0,0,,25,2,11,3.0,261.0,246.333333,783.0,739.0,-44.0
2015-06-05,5,6,2015,46.0,1,,20,2,14,1.0,2049.0,1555.0,2049.0,1555.0,-494.0
2015-06-08,8,6,2015,24.0,1,,5,2,14,1.0,2071.0,2211.0,2071.0,2211.0,140.0
2015-06-08,8,6,2015,40.0,0,,23,2,11,2.0,1091.0,961.0,2182.0,1922.0,-260.0
2015-06-12,12,6,2015,31.0,1,,16,2,14,1.0,2071.0,2377.0,2071.0,2377.0,306.0
2015-06-12,12,6,2015,51.0,1,,23,2,11,1.0,2443.0,2205.0,2443.0,2205.0,-238.0
2015-06-13,13,6,2015,46.0,0,,9,2,14,2.0,1035.5,1123.5,2071.0,2247.0,176.0
2015-06-13,13,6,2015,38.0,0,,25,2,14,3.0,690.33,681.0,2071.0,2043.0,-28.0
2015-06-14,14,6,2015,22.0,0,,18,2,14,3.0,690.33,738.0,2071.0,2214.0,143.0
2015-06-15,15,6,2015,31.0,1,,7,2,14,2.0,1035.5,1296.0,2071.0,2592.0,521.0
2015-06-17,17,6,2015,40.0,0,,23,2,14,1.0,2049.0,1892.0,2049.0,1892.0,-157.0
2015-06-17,17,6,2015,45.0,1,,14,2,14,3.0,690.33,795.333333,2071.0,2386.0,315.0
2015-06-17,17,6,2015,24.0,1,,25,2,14,3.0,690.33,609.0,2071.0,1827.0,-244.0
2015-06-18,18,6,2015,32.0,1,,16,2,14,3.0,690.33,680.0,2071.0,2040.0,-31.0
2015-06-19,19,6,2015,39.0,1,,23,2,14,2.0,1024.5,1051.5,2049.0,2103.0,54.0
2015-06-21,21,6,2015,40.0,0,,23,2,11,1.0,2443.0,2314.0,2443.0,2314.0,-129.0
2015-06-24,24,6,2015,32.0,0,,19,2,14,1.0,2049.0,2328.0,2049.0,2328.0,279.0
2015-06-24,24,6,2015,32.0,0,,15,2,14,3.0,690.33,572.666667,2071.0,1718.0,-353.0
2015-06-27,27,6,2015,51.0,1,,23,2,11,3.0,814.33,776.0,2443.0,2328.0,-115.0
2015-06-29,29,6,2015,24.0,1,,25,2,14,3.0,683.0,685.333333,2049.0,2056.0,7.0
2015-06-30,30,6,2015,40.0,0,,23,2,14,3.0,683.0,628.0,2049.0,1884.0,-165.0
2015-06-30,30,6,2015,38.0,0,,25,2,14,1.0,2071.0,1959.0,2071.0,1959.0,-112.0
2015-07-01,1,7,2015,41.0,1,,21,3,13,3.0,46.67,59.0,140.0,177.0,37.0
2015-07-01,1,7,2015,41.0,1,,21,2,14,2.0,1160.0,1305.0,2320.0,2610.0,290.0
2015-07-01,1,7,2015,42.0,0,,20,2,11,1.0,2443.0,1801.0,2443.0,1801.0,-642.0
2015-07-01,1,7,2015,42.0,0,,20,3,15,1.0,70.0,92.0,70.0,92.0,22.0
2015-07-01,1,7,2015,42.0,0,,20,3,16,3.0,239.0,349.666667,717.0,1049.0,332.0
2015-07-01,1,7,2015,42.0,0,,20,3,16,3.0,28.0,23.0,84.0,69.0,-15.0
2015-07-01,1,7,2015,33.0,0,,24,3,16,1.0,150.0,153.0,150.0,153.0,3.0
2015-07-01,1,7,2015,33.0,0,,24,3,16,3.0,280.0,310.333333,840.0,931.0,91.0
2015-07-01,1,7,2015,41.0,1,,21,3,13,2.0,25.0,33.5,50.0,67.0,17.0
2015-07-03,3,7,2015,36.0,1,,18,3,13,1.0,30.0,40.0,30.0,40.0,10.0
2015-07-03,3,7,2015,36.0,1,,18,2,14,3.0,773.33,908.666667,2320.0,2726.0,406.0
2015-07-03,3,7,2015,41.0,0,,13,1,12,1.0,54.0,67.0,54.0,67.0,13.0
2015-07-03,3,7,2015,28.0,1,,23,1,10,2.0,45.0,46.0,90.0,92.0,2.0
2015-07-03,3,7,2015,41.0,0,,13,2,11,2.0,560.0,644.5,1120.0,1289.0,169.0
2015-07-03,3,7,2015,36.0,1,,18,3,13,2.0,17.5,23.5,35.0,47.0,12.0
2015-07-03,3,7,2015,36.0,1,,18,3,15,3.0,186.67,265.0,560.0,795.0,235.0
2015-07-03,3,7,2015,41.0,0,,13,1,10,2.0,31.5,41.5,63.0,83.0,20.0
2015-07-04,4,7,2015,28.0,0,,7,3,5,1.0,1045.0,1434.0,1045.0,1434.0,389.0
2015-07-04,4,7,2015,64.0,0,,25,3,16,1.0,37.0,41.0,37.0,41.0,4.0
2015-07-04,4,7,2015,28.0,0,,7,1,10,1.0,270.0,302.0,270.0,302.0,32.0
2015-07-04,4,7,2015,40.0,0,,20,3,16,1.0,35.0,36.0,35.0,36.0,1.0
2015-07-04,4,7,2015,40.0,0,,20,2,14,2.0,1160.0,1340.5,2320.0,2681.0,361.0
2015-07-04,4,7,2015,40.0,0,,19,2,9,3.0,794.67,908.0,2384.0,2724.0,340.0
2015-07-05,5,7,2015,42.0,0,,11,3,13,2.0,55.0,80.5,110.0,161.0,51.0
2015-07-05,5,7,2015,46.0,1,,20,3,13,1.0,144.0,192.0,144.0,192.0,48.0
2015-07-05,5,7,2015,46.0,1,,20,2,9,2.0,1192.0,1342.5,2384.0,2685.0,301.0
2015-07-05,5,7,2015,38.0,1,,23,2,9,2.0,607.5,552.5,1215.0,1105.0,-110.0
2015-07-05,5,7,2015,46.0,1,,20,3,13,1.0,45.0,46.0,45.0,46.0,1.0
2015-07-05,5,7,2015,38.0,1,,23,1,12,2.0,621.0,664.0,1242.0,1328.0,86.0
2015-07-05,5,7,2015,46.0,1,,20,1,10,2.0,4.5,5.0,9.0,10.0,1.0
2015-07-05,5,7,2015,42.0,0,,11,3,13,1.0,105.0,138.0,105.0,138.0,33.0
2015-07-05,5,7,2015,46.0,1,,20,2,11,1.0,2443.0,2516.0,2443.0,2516.0,73.0
2015-07-05,5,7,2015,35.0,0,,25,3,8,1.0,231.0,273.0,231.0,273.0,42.0
2015-07-05,5,7,2015,35.0,0,,25,3,16,3.0,24.0,23.0,72.0,69.0,-3.0
2015-07-05,5,7,2015,35.0,0,,25,3,16,1.0,489.0,491.0,489.0,491.0,2.0
2015-07-05,5,7,2015,46.0,1,,20,3,15,2.0,490.0,517.5,980.0,1035.0,55.0
2015-07-06,6,7,2015,61.0,0,,19,1,12,1.0,108.0,100.0,108.0,100.0,-8.0
2015-07-06,6,7,2015,61.0,0,,19,3,13,1.0,145.0,204.0,145.0,204.0,59.0
2015-07-06,6,7,2015,61.0,0,,19,3,13,3.0,43.33,52.333333,130.0,157.0,27.0
2015-07-06,6,7,2015,61.0,0,,19,2,14,1.0,2295.0,1630.0,2295.0,1630.0,-665.0
2015-07-07,7,7,2015,61.0,1,,23,1,10,2.0,36.0,39.0,72.0,78.0,6.0
2015-07-07,7,7,2015,61.0,1,,23,3,15,2.0,402.5,491.0,805.0,982.0,177.0
2015-07-07,7,7,2015,61.0,1,,23,2,14,2.0,1147.5,1084.5,2295.0,2169.0,-126.0
2015-07-08,8,7,2015,36.0,0,,12,2,14,2.0,1160.0,1253.0,2320.0,2506.0,186.0
2015-07-09,9,7,2015,40.0,1,,15,2,14,2.0,1160.0,799.5,2320.0,1599.0,-721.0
2015-07-09,9,7,2015,35.0,1,,19,3,15,3.0,198.33,283.666667,595.0,851.0,256.0
2015-07-09,9,7,2015,35.0,1,,19,3,13,2.0,30.0,29.0,60.0,58.0,-2.0
2015-07-09,9,7,2015,35.0,0,,25,3,8,2.0,28.0,31.5,56.0,63.0,7.0
2015-07-09,9,7,2015,35.0,1,,19,3,13,2.0,55.0,47.5,110.0,95.0,-15.0
2015-07-09,9,7,2015,35.0,1,,19,2,14,2.0,1160.0,942.0,2320.0,1884.0,-436.0
2015-07-09,9,7,2015,35.0,0,,25,3,16,3.0,8.33,8.666667,25.0,26.0,1.0
2015-07-09,9,7,2015,30.0,1,,25,3,13,3.0,23.33,27.333333,70.0,82.0,12.0
2015-07-09,9,7,2015,30.0,1,,25,3,13,2.0,20.0,23.5,40.0,47.0,7.0
2015-07-09,9,7,2015,30.0,1,,25,3,15,2.0,192.5,203.0,385.0,406.0,21.0
2015-07-10,10,7,2015,35.0,0,,18,2,14,1.0,2320.0,2548.0,2320.0,2548.0,228.0
2015-07-11,11,7,2015,49.0,0,,14,2,11,1.0,2443.0,3095.0,2443.0,3095.0,652.0
2015-07-12,12,7,2015,38.0,1,,23,3,13,2.0,5.0,5.5,10.0,11.0,1.0
2015-07-12,12,7,2015,38.0,1,,23,2,14,2.0,1160.0,1043.0,2320.0,2086.0,-234.0
2015-07-12,12,7,2015,38.0,1,,23,3,13,1.0,130.0,141.0,130.0,141.0,11.0
2015-07-12,12,7,2015,38.0,1,,23,3,8,2.0,111.5,126.5,223.0,253.0,30.0
2015-07-13,13,7,2015,43.0,0,,25,3,16,1.0,140.0,160.0,140.0,160.0,20.0
2015-07-13,13,7,2015,43.0,0,,25,3,16,1.0,115.0,135.0,115.0,135.0,20.0
2015-07-14,14,7,2015,28.0,1,,23,1,10,1.0,126.0,148.0,126.0,148.0,22.0
2015-07-14,14,7,2015,29.0,1,,19,3,15,3.0,233.33,325.333333,700.0,976.0,276.0
2015-07-14,14,7,2015,27.0,1,,25,3,15,3.0,128.33,153.0,385.0,459.0,74.0
2015-07-15,15,7,2015,34.0,0,,25,3,8,2.0,12.0,12.0,24.0,24.0,0.0
2015-07-15,15,7,2015,52.0,0,,20,2,14,3.0,773.33,497.333333,2320.0,1492.0,-828.0
2015-07-16,16,7,2015,40.0,0,,23,3,16,1.0,980.0,1145.0,980.0,1145.0,165.0
2015-07-16,16,7,2015,40.0,0,,23,3,15,1.0,315.0,359.0,315.0,359.0,44.0
2015-07-16,16,7,2015,40.0,0,,23,2,14,1.0,2295.0,2084.0,2295.0,2084.0,-211.0
2015-07-16,16,7,2015,28.0,1,,25,3,15,1.0,630.0,712.0,630.0,712.0,82.0
2015-07-17,17,7,2015,27.0,1,,24,2,11,3.0,180.0,169.333333,540.0,508.0,-32.0
2015-07-17,17,7,2015,40.0,0,,19,3,8,1.0,119.0,170.0,119.0,170.0,51.0
2015-07-17,17,7,2015,40.0,0,,19,2,11,1.0,2443.0,2179.0,2443.0,2179.0,-264.0
2015-07-17,17,7,2015,37.0,0,,23,1,12,3.0,252.0,259.0,756.0,777.0,21.0
2015-07-19,19,7,2015,31.0,0,,24,1,12,1.0,400.0,400.0,400.0,400.0,0.0
2015-07-19,19,7,2015,27.0,1,,23,2,9,2.0,1192.0,1212.0,2384.0,2424.0,40.0
2015-07-19,19,7,2015,32.0,0,,22,2,14,3.0,765.0,783.0,2295.0,2349.0,54.0
2015-07-20,20,7,2015,25.0,1,,11,2,14,3.0,765.0,937.666667,2295.0,2813.0,518.0
2015-07-20,20,7,2015,34.0,1,,24,3,16,3.0,6.0,7.0,18.0,21.0,3.0
2015-07-20,20,7,2015,34.0,1,,24,3,16,2.0,38.0,43.5,76.0,87.0,11.0
2015-07-20,20,7,2015,34.0,1,,24,3,16,2.0,175.0,205.5,350.0,411.0,61.0
2015-07-20,20,7,2015,30.0,1,,25,3,13,1.0,10.0,12.0,10.0,12.0,2.0
2015-07-21,21,7,2015,22.0,0,,23,3,8,3.0,29.0,30.666667,87.0,92.0,5.0
2015-07-21,21,7,2015,43.0,0,,13,2,11,2.0,270.0,281.5,540.0,563.0,23.0
2015-07-22,22,7,2015,28.0,0,,8,2,14,3.0,773.33,579.0,2320.0,1737.0,-583.0
2015-07-22,22,7,2015,28.0,0,,8,3,13,2.0,60.0,85.5,120.0,171.0,51.0
2015-07-22,22,7,2015,28.0,0,,8,3,13,1.0,150.0,196.0,150.0,196.0,46.0
2015-07-22,22,7,2015,28.0,0,,8,1,10,1.0,18.0,13.0,18.0,13.0,-5.0
2015-07-22,22,7,2015,28.0,0,,8,1,12,1.0,540.0,368.0,540.0,368.0,-172.0
2015-07-23,23,7,2015,36.0,1,,23,2,14,1.0,2320.0,2007.0,2320.0,2007.0,-313.0
2015-07-24,24,7,2015,40.0,0,,23,3,16,1.0,910.0,1058.0,910.0,1058.0,148.0
2015-07-24,24,7,2015,40.0,0,,23,2,14,3.0,773.33,740.666667,2320.0,2222.0,-98.0
2015-07-24,24,7,2015,33.0,0,,24,1,10,1.0,180.0,231.0,180.0,231.0,51.0
2015-07-26,26,7,2015,28.0,0,,19,2,14,3.0,765.0,668.333333,2295.0,2005.0,-290.0
2015-07-26,26,7,2015,49.0,0,,14,2,9,1.0,2384.0,2615.0,2384.0,2615.0,231.0
2015-07-26,26,7,2015,28.0,0,,19,3,5,3.0,440.0,431.666667,1320.0,1295.0,-25.0
2015-07-27,27,7,2015,41.0,0,,13,3,13,3.0,56.67,71.333333,170.0,214.0,44.0
2015-07-27,27,7,2015,41.0,0,,13,2,14,3.0,773.33,918.666667,2320.0,2756.0,436.0
2015-07-28,28,7,2015,43.0,0,,25,2,11,1.0,1120.0,997.0,1120.0,997.0,-123.0
2015-07-29,29,7,2015,36.0,1,,19,2,14,2.0,1147.5,1163.0,2295.0,2326.0,31.0
2015-07-29,29,7,2015,42.0,1,,16,2,11,3.0,814.33,627.0,2443.0,1881.0,-562.0
2015-07-31,31,7,2015,38.0,1,,23,3,13,3.0,60.0,66.666667,180.0,200.0,20.0
2015-07-31,31,7,2015,40.0,0,,23,2,11,2.0,1221.5,1125.5,2443.0,2251.0,-192.0
2015-07-31,31,7,2015,38.0,1,,23,2,9,3.0,247.33,249.0,742.0,747.0,5.0
2015-07-31,31,7,2015,40.0,0,,23,3,16,1.0,32.0,37.0,32.0,37.0,5.0
2015-07-31,31,7,2015,40.0,0,,23,3,16,2.0,277.0,316.0,554.0,632.0,78.0
2015-07-31,31,7,2015,40.0,0,,23,3,16,1.0,39.0,47.0,39.0,47.0,8.0
2015-08-01,1,8,2015,59.0,1,,22,1,1,2.0,27.0,26.5,54.0,53.0,-1.0
2015-08-01,1,8,2015,30.0,0,,17,1,12,1.0,1400.0,1130.0,1400.0,1130.0,-270.0
2015-08-01,1,8,2015,30.0,0,,17,3,16,2.0,45.0,49.0,90.0,98.0,8.0
2015-08-01,1,8,2015,59.0,1,,22,3,13,3.0,60.0,66.333333,180.0,199.0,19.0
2015-08-01,1,8,2015,29.0,0,,15,2,14,3.0,773.33,820.0,2320.0,2460.0,140.0
2015-08-01,1,8,2015,29.0,0,,15,3,16,3.0,25.0,20.0,75.0,60.0,-15.0
2015-08-01,1,8,2015,59.0,1,,22,3,13,3.0,41.67,45.333333,125.0,136.0,11.0
2015-08-01,1,8,2015,29.0,0,,15,3,15,3.0,23.33,23.666667,70.0,71.0,1.0
2015-08-01,1,8,2015,38.0,1,,24,3,16,3.0,282.67,294.333333,848.0,883.0,35.0
2015-08-01,1,8,2015,38.0,1,,24,3,16,2.0,44.0,51.5,88.0,103.0,15.0
2015-08-01,1,8,2015,29.0,0,,15,3,16,1.0,980.0,1221.0,980.0,1221.0,241.0
2015-08-02,2,8,2015,20.0,1,,25,1,4,2.0,825.5,947.5,1651.0,1895.0,244.0
2015-08-02,2,8,2015,62.0,0,,24,2,14,1.0,2295.0,2210.0,2295.0,2210.0,-85.0
2015-08-02,2,8,2015,28.0,1,,23,1,10,1.0,207.0,194.0,207.0,194.0,-13.0
2015-08-03,3,8,2015,42.0,1,,16,3,16,2.0,232.0,201.0,464.0,402.0,-62.0
2015-08-03,3,8,2015,42.0,1,,16,3,16,1.0,35.0,40.0,35.0,40.0,5.0
2015-08-03,3,8,2015,42.0,1,,16,3,16,2.0,26.5,32.5,53.0,65.0,12.0
2015-08-03,3,8,2015,27.0,1,,25,1,12,3.0,33.33,39.333333,100.0,118.0,18.0
2015-08-03,3,8,2015,59.0,1,,25,3,3,2.0,238.5,288.0,477.0,576.0,99.0
2015-08-03,3,8,2015,42.0,1,,16,2,9,2.0,1192.0,1190.5,2384.0,2381.0,-3.0
2015-08-03,3,8,2015,38.0,0,,24,3,16,2.0,100.0,115.0,200.0,230.0,30.0
2015-08-03,3,8,2015,38.0,1,,23,2,9,3.0,247.33,220.0,742.0,660.0,-82.0
2015-08-03,3,8,2015,31.0,0,,24,1,12,3.0,270.0,278.0,810.0,834.0,24.0
2015-08-03,3,8,2015,24.0,1,,25,3,16,3.0,3.33,3.666667,10.0,11.0,1.0
2015-08-03,3,8,2015,24.0,1,,25,3,16,2.0,319.0,329.5,638.0,659.0,21.0
2015-08-03,3,8,2015,31.0,1,,23,3,15,2.0,245.0,276.5,490.0,553.0,63.0
2015-08-03,3,8,2015,30.0,1,,25,3,15,1.0,770.0,811.0,770.0,811.0,41.0
2015-08-04,4,8,2015,40.0,0,,23,3,16,1.0,11.0,13.0,11.0,13.0,2.0
2015-08-04,4,8,2015,40.0,0,,23,2,14,1.0,2295.0,2376.0,2295.0,2376.0,81.0
2015-08-04,4,8,2015,43.0,0,,22,3,16,3.0,66.67,69.0,200.0,207.0,7.0
2015-08-04,4,8,2015,43.0,0,,22,3,16,2.0,50.0,54.5,100.0,109.0,9.0
2015-08-04,4,8,2015,58.0,1,,24,3,13,1.0,140.0,163.0,140.0,163.0,23.0
2015-08-04,4,8,2015,58.0,1,,24,3,13,1.0,30.0,33.0,30.0,33.0,3.0
2015-08-04,4,8,2015,58.0,1,,24,2,14,2.0,1160.0,1140.0,2320.0,2280.0,-40.0
2015-08-04,4,8,2015,58.0,1,,24,3,5,2.0,687.5,745.5,1375.0,1491.0,116.0
2015-08-04,4,8,2015,33.0,0,,24,3,16,3.0,50.0,56.0,150.0,168.0,18.0
2015-08-06,6,8,2015,34.0,1,,25,1,10,2.0,108.0,123.0,216.0,246.0,30.0
2015-08-06,6,8,2015,52.0,0,,16,3,15,3.0,93.33,139.333333,280.0,418.0,138.0
2015-08-06,6,8,2015,52.0,0,,16,2,14,1.0,2295.0,1859.0,2295.0,1859.0,-436.0
2015-08-06,6,8,2015,37.0,1,,22,3,8,1.0,135.0,164.0,135.0,164.0,29.0
2015-08-06,6,8,2015,34.0,1,,25,1,12,1.0,54.0,52.0,54.0,52.0,-2.0
2015-08-06,6,8,2015,37.0,1,,22,2,14,1.0,2295.0,2257.0,2295.0,2257.0,-38.0
2015-08-06,6,8,2015,28.0,1,,23,3,8,3.0,16.0,18.333333,48.0,55.0,7.0
2015-08-07,7,8,2015,39.0,0,,25,3,16,2.0,55.0,59.5,110.0,119.0,9.0
2015-08-07,7,8,2015,39.0,0,,25,3,15,3.0,70.0,86.0,210.0,258.0,48.0
2015-08-07,7,8,2015,38.0,1,,11,3,13,3.0,13.33,18.333333,40.0,55.0,15.0
2015-08-07,7,8,2015,38.0,1,,11,3,13,1.0,10.0,12.0,10.0,12.0,2.0
2015-08-07,7,8,2015,38.0,1,,11,3,8,2.0,24.0,34.0,48.0,68.0,20.0
2015-08-07,7,8,2015,54.0,0,,25,3,5,3.0,220.0,239.666667,660.0,719.0,59.0
2015-08-07,7,8,2015,54.0,0,,25,3,8,1.0,223.0,261.0,223.0,261.0,38.0
2015-08-07,7,8,2015,26.0,0,,16,1,12,1.0,1050.0,1267.0,1050.0,1267.0,217.0
2015-08-08,8,8,2015,28.0,1,,25,3,16,2.0,245.0,260.5,490.0,521.0,31.0
2015-08-08,8,8,2015,29.0,1,,19,3,16,2.0,192.5,167.5,385.0,335.0,-50.0
2015-08-08,8,8,2015,26.0,0,,16,1,12,2.0,486.0,629.0,972.0,1258.0,286.0
2015-08-08,8,8,2015,29.0,1,,19,1,12,1.0,500.0,543.0,500.0,543.0,43.0
2015-08-08,8,8,2015,29.0,1,,19,3,15,3.0,291.67,328.666667,875.0,986.0,111.0
2015-08-09,9,8,2015,30.0,0,,17,3,16,2.0,217.5,311.5,435.0,623.0,188.0
2015-08-09,9,8,2015,49.0,1,,22,1,10,1.0,81.0,87.0,81.0,87.0,6.0
2015-08-09,9,8,2015,53.0,1,,24,3,16,3.0,10.0,11.333333,30.0,34.0,4.0
2015-08-09,9,8,2015,48.0,0,,18,3,15,2.0,105.0,142.5,210.0,285.0,75.0
2015-08-09,9,8,2015,28.0,1,,2,3,16,1.0,64.0,80.0,64.0,80.0,16.0
2015-08-09,9,8,2015,28.0,1,,2,2,14,3.0,773.33,698.0,2320.0,2094.0,-226.0
2015-08-09,9,8,2015,30.0,0,,17,3,16,1.0,60.0,48.0,60.0,48.0,-12.0
2015-08-09,9,8,2015,30.0,0,,17,3,3,2.0,397.5,539.0,795.0,1078.0,283.0
2015-08-09,9,8,2015,58.0,1,,25,2,14,3.0,765.0,739.666667,2295.0,2219.0,-76.0
2015-08-09,9,8,2015,58.0,1,,25,1,12,3.0,366.67,435.666667,1100.0,1307.0,207.0
2015-08-09,9,8,2015,30.0,0,,17,3,16,3.0,3.33,3.333333,10.0,10.0,0.0
2015-08-09,9,8,2015,53.0,1,,24,3,16,1.0,980.0,1012.0,980.0,1012.0,32.0
2015-08-10,10,8,2015,35.0,0,,25,3,8,2.0,95.5,114.5,191.0,229.0,38.0
